LOC,TotalImplSmells,TotalDesignSmells,ImplSmellDensity,DesignSmellDensity,,,
802,15,5,18.7032419,6.234413965,,,
339,21,5,61.94690265,14.74926254,,Impl,0.3183667
8560,169,121,19.74299065,14.13551402,,design,-0.07051977
617,24,6,38.89789303,9.724473258,,,
103979,2893,864,27.82292578,8.309370161,,,
1044,13,36,12.45210728,34.48275862,,,
427,23,25,53.86416862,58.54800937,,,
2359,69,58,29.24968207,24.58668928,,,
275,13,1,47.27272727,3.636363636,,,
1164,66,9,56.70103093,7.731958763,,,
9149,441,76,48.20198929,8.306918789,,,
68,0,0,0,0,,,
407,5,5,12.28501229,12.28501229,,,
1365,41,11,30.03663004,8.058608059,,,
22473,1578,165,70.21759445,7.342143906,,,
249,13,5,52.20883534,20.08032129,,,
572,4,14,6.993006993,24.47552448,,,
240,5,1,20.83333333,4.166666667,,,
108,3,4,27.77777778,37.03703704,,,
878,19,21,21.64009112,23.91799544,,,
2383,6,19,2.517834662,7.973143097,,,
3670,85,79,23.16076294,21.52588556,,,
128,5,0,39.0625,0,,,
5147,252,117,48.96055955,22.73168836,,,
619,11,3,17.77059774,4.846526656,,,
1709,31,10,18.13926273,5.851375073,,,
17899,464,192,25.92323593,10.72685625,,,
12301,516,85,41.94780912,6.910007316,,,
228,1,2,4.385964912,8.771929825,,,
2079,30,38,14.43001443,18.27801828,,,
1070,7,35,6.542056075,32.71028037,,,
2676,23,51,8.594917788,19.05829596,,,
672,21,2,31.25,2.976190476,,,
7968,1339,109,168.0471888,13.67971888,,,
175187,4018,1220,22.93549179,6.963987054,,,
505,8,14,15.84158416,27.72277228,,,
19,0,1,0,52.63157895,,,
42511,3034,590,71.36976312,13.87876079,,,
113,4,7,35.39823009,61.94690265,,,
340,8,3,23.52941176,8.823529412,,,
1697,27,25,15.91043017,14.73187979,,,
6725,254,100,37.76951673,14.86988848,,,
159,18,0,113.2075472,0,,,
2079,1567,26,753.7277537,12.50601251,,,
2706,743,23,274.5750185,8.499630451,,,
1837,254,11,138.2689167,5.988023952,,,
1248,107,4,85.73717949,3.205128205,,,
355,9,3,25.35211268,8.450704225,,,
6424,938,24,146.014944,3.735990037,,,
516,14,31,27.13178295,60.07751938,,,
221,1,1,4.524886878,4.524886878,,,
1200,16,14,13.33333333,11.66666667,,,
10250,129,108,12.58536585,10.53658537,,,
308,2,3,6.493506494,9.74025974,,,
1216,14,13,11.51315789,10.69078947,,,
398,22,4,55.27638191,10.05025126,,,
3514,169,18,48.09334092,5.122367672,,,
718,21,3,29.24791086,4.178272981,,,
3622,169,22,46.65930425,6.073992269,,,
1068,12,8,11.23595506,7.490636704,,,
55964,5522,454,98.67057394,8.112357944,,,
19637,534,198,27.19356317,10.08300657,,,
95,0,1,0,10.52631579,,,
24926,2700,201,108.3206291,8.063869052,,,
1321,15,20,11.35503407,15.14004542,,,
1727,27,8,15.63404748,4.632310365,,,
1025,68,15,66.34146341,14.63414634,,,
69,1,0,14.49275362,0,,,
5767,1346,52,233.3969135,9.016819837,,,
202,3,0,14.85148515,0,,,
670,14,27,20.89552239,40.29850746,,,
884,15,2,16.96832579,2.262443439,,,
1309,72,15,55.00381971,11.45912911,,,
231,3,3,12.98701299,12.98701299,,,
27339,3031,240,110.8672592,8.778667837,,,
1035,117,12,113.0434783,11.5942029,,,
187,16,0,85.56149733,0,,,
2299,24,27,10.43932144,11.74423662,,,
542,1,16,1.84501845,29.5202952,,,
4462,39,37,8.740475123,8.29224563,,,
909,9,13,9.900990099,14.30143014,,,
982,4,7,4.073319756,7.128309572,,,
0,0,0,0,0,,,
1184,33,3,27.87162162,2.533783784,,,
66972,4776,1060,71.3133847,15.82751,,,
57999,5372,408,92.62228659,7.034604045,,,
434,12,13,27.64976959,29.95391705,,,
112646,12972,825,115.1572182,7.323828631,,,
362,3,3,8.287292818,8.287292818,,,
30915,1351,377,43.70046903,12.19472748,,,
5846,56,61,9.579199453,10.43448512,,,
36,0,2,0,55.55555556,,,
999,21,5,21.02102102,5.005005005,,,
316,5,10,15.82278481,31.64556962,,,
606,54,13,89.10891089,21.45214521,,,
9844,402,79,40.83705811,8.025193011,,,
1202,88,6,73.21131448,4.991680532,,,
6140,398,45,64.82084691,7.328990228,,,
587,4,6,6.814310051,10.22146508,,,
5353,94,30,17.56024659,5.604334018,,,
13205,1207,107,91.40477092,8.102991291,,,
5573,853,210,153.0593935,37.68167953,,,
1612,9,58,5.583126551,35.98014888,,,
17524,748,161,42.68431865,9.187400137,,,
110205,2630,486,23.86461594,4.40996325,,,
62,1,1,16.12903226,16.12903226,,,
2863,312,15,108.976598,5.239259518,,,
67,0,1,0,14.92537313,,,
830,59,10,71.08433735,12.04819277,,,
326,7,7,21.47239264,21.47239264,,,
229,2,0,8.733624454,0,,,
287,4,4,13.93728223,13.93728223,,,
316,7,1,22.15189873,3.164556962,,,
1138,36,7,31.6344464,6.151142355,,,
1474,48,18,32.56445047,12.21166893,,,
138979,3426,1610,24.6512063,11.58448399,,,
209,10,1,47.84688995,4.784688995,,,
0,0,0,0,0,,,
852,27,9,31.69014085,10.56338028,,,
1126,10,17,8.880994671,15.09769094,,,
356,16,1,44.94382022,2.808988764,,,
494,2,7,4.048582996,14.17004049,,,
256,1,6,3.90625,23.4375,,,
236,2,4,8.474576271,16.94915254,,,
1346,11,39,8.172362556,28.97473997,,,
525,91,1,173.3333333,1.904761905,,,
0,0,0,0,0,,,
1289,3,34,2.32738557,26.37703646,,,
9987,325,140,32.542305,14.01822369,,,
102,0,1,0,9.803921569,,,
0,0,0,0,0,,,
1728,34,56,19.67592593,32.40740741,,,
10710,120,207,11.20448179,19.32773109,,,
3657,495,50,135.3568499,13.67240908,,,
1349,32,20,23.72127502,14.82579689,,,
586,16,11,27.30375427,18.77133106,,,
1120,85,11,75.89285714,9.821428571,,,
320,1,14,3.125,43.75,,,
29200,979,225,33.52739726,7.705479452,,,
8321,566,75,68.02067059,9.013339743,,,
191,0,19,0,99.47643979,,,
226,5,12,22.12389381,53.09734513,,,
136,1,1,7.352941176,7.352941176,,,
2830,260,48,91.87279152,16.96113074,,,
602,32,2,53.15614618,3.322259136,,,
4186,269,26,64.26182513,6.211180124,,,
1568,22,47,14.03061224,29.9744898,,,
3830,201,41,52.48041775,10.70496084,,,
1130,4,25,3.539823009,22.12389381,,,
577,39,10,67.59098787,17.33102253,,,
3461,53,17,15.31349321,4.911875181,,,
4683,91,88,19.43198804,18.79137305,,,
2214,71,15,32.06865402,6.775067751,,,
271,2,2,7.380073801,7.380073801,,,
3157,268,37,84.89071904,11.71998733,,,
232,5,1,21.55172414,4.310344828,,,
374,4,3,10.69518717,8.021390374,,,
10353,444,84,42.88611997,8.113590264,,,
1764,10,36,5.66893424,20.40816327,,,
2075,206,36,99.27710843,17.34939759,,,
3226,119,38,36.88778673,11.77929324,,,
403,7,1,17.36972705,2.481389578,,,
585,276,5,471.7948718,8.547008547,,,
288,2,3,6.944444444,10.41666667,,,
299,8,2,26.75585284,6.688963211,,,
73,0,1,0,13.69863014,,,
13981,1017,112,72.74157786,8.010871898,,,
19171,2857,140,149.0271765,7.302696782,,,
8904,309,34,34.70350404,3.818508535,,,
3862,569,22,147.3329881,5.696530295,,,
0,0,0,0,0,,,
669,35,7,52.31689088,10.46337818,,,
581,11,9,18.93287435,15.49053356,,,
47560,1257,371,26.42977292,7.800672834,,,
44725,2383,577,53.28116266,12.90106205,,,
529,9,1,17.01323251,1.890359168,,,
239,1,3,4.184100418,12.55230126,,,
25508,286,124,11.21216873,4.861220009,,,
13396,450,233,33.59211705,17.39325172,,,
3682,404,15,109.7229766,4.073872895,,,
304,8,4,26.31578947,13.15789474,,,
804,34,9,42.28855721,11.19402985,,,
498,26,13,52.20883534,26.10441767,,,
1294,14,16,10.81916538,12.36476043,,,
198,7,2,35.35353535,10.1010101,,,
787,7,11,8.894536213,13.97712834,,,
22799,1541,254,67.5906838,11.14083951,,,
6207,138,68,22.23296278,10.95537297,,,
835,9,4,10.77844311,4.790419162,,,
246,2,6,8.130081301,24.3902439,,,
318,10,2,31.44654088,6.289308176,,,
454,8,3,17.62114537,6.607929515,,,
1233,17,10,13.78751014,8.110300081,,,
7025,158,49,22.4911032,6.975088968,,,
289,3,4,10.38062284,13.84083045,,,
10178,203,158,19.94497937,15.52367852,,,
46133,822,293,17.81804782,6.35120196,,,
70947,1529,400,21.55129886,5.638011473,,,
173,1,3,5.780346821,17.34104046,,,
1098,377,9,343.3515483,8.196721311,,,
1611,167,5,103.6623215,3.103662322,,,
21655,7422,152,342.7383976,7.019164165,,,
1001,59,21,58.94105894,20.97902098,,,
184,5,6,27.17391304,32.60869565,,,
1328,26,4,19.57831325,3.012048193,,,
2919,99,38,33.91572456,13.0181569,,,
3480,719,36,206.6091954,10.34482759,,,
2592,636,22,245.3703704,8.487654321,,,
2592,636,22,245.3703704,8.487654321,,,
997,19,17,19.05717151,17.05115346,,,
0,0,0,0,0,,,
96093,1055,1256,10.97894748,13.07067112,,,
285,22,8,77.19298246,28.07017544,,,
1264,44,38,34.81012658,30.06329114,,,
4932,57,50,11.55717762,10.1378751,,,
821,44,27,53.59317905,32.88672351,,,
1422,155,9,109.0014065,6.329113924,,,
5790,260,43,44.90500864,7.426597582,,,
1009,60,33,59.46481665,32.70564916,,,
1736,104,11,59.9078341,6.33640553,,,
2987,73,100,24.43923669,33.47840643,,,
3358,78,14,23.22811197,4.169148303,,,
495,14,11,28.28282828,22.22222222,,,
4716,448,88,94.99575912,18.65988126,,,
637,11,4,17.26844584,6.279434851,,,
495,26,5,52.52525253,10.1010101,,,
2664,104,23,39.03903904,8.633633634,,,
5522,1808,33,327.4176023,5.976095618,,,
341,11,2,32.25806452,5.865102639,,,
800,48,11,60,13.75,,,
2588,116,37,44.82225657,14.29675425,,,
296,13,1,43.91891892,3.378378378,,,
3846,20,132,5.200208008,34.32137285,,,
523,6,2,11.47227533,3.824091778,,,
13899,376,163,27.05230592,11.72746241,,,
5865,239,69,40.75021313,11.76470588,,,
445,27,5,60.6741573,11.23595506,,,
265,5,11,18.86792453,41.50943396,,,
1539,40,9,25.99090318,5.847953216,,,
118,1,4,8.474576271,33.89830508,,,
514,7,7,13.61867704,13.61867704,,,
248,2,2,8.064516129,8.064516129,,,
911,44,21,48.298573,23.05159166,,,
4734,286,27,60.41402619,5.703422053,,,
32403,29372,219,906.4592785,6.75863346,,,
423,5,10,11.82033097,23.64066194,,,
11925,83,121,6.960167715,10.14675052,,,
0,0,0,0,0,,,
3770,100,38,26.52519894,10.0795756,,,
2699,215,30,79.65913301,11.11522786,,,
304,6,5,19.73684211,16.44736842,,,
1239,19,24,15.33494754,19.37046005,,,
1903,1189,11,624.8029427,5.780346821,,,
254,0,15,0,59.05511811,,,
447,11,7,24.60850112,15.65995526,,,
30432,4085,439,134.2337014,14.42560463,,,
508,24,19,47.24409449,37.4015748,,,
340,16,11,47.05882353,32.35294118,,,
930,24,8,25.80645161,8.602150538,,,
382,4,8,10.47120419,20.94240838,,,
2845,461,38,162.0386643,13.35676626,,,
564,6,6,10.63829787,10.63829787,,,
2048,4,32,1.953125,15.625,,,
119248,8971,1516,75.22977325,12.71300148,,,
5544,100,91,18.03751804,16.41414141,,,
370,7,5,18.91891892,13.51351351,,,
4271,83,31,19.43338797,7.258253336,,,
0,0,0,0,0,,,
0,0,0,0,0,,,
1922,59,18,30.69719043,9.365244537,,,
178,0,2,0,11.23595506,,,
782,3,12,3.836317136,15.34526854,,,
18,1,1,55.55555556,55.55555556,,,
412,10,1,24.27184466,2.427184466,,,
2221,47,25,21.1616389,11.2561909,,,
696,2,4,2.873563218,5.747126437,,,
249,6,14,24.09638554,56.2248996,,,
1572,16,22,10.17811705,13.99491094,,,
257,22,0,85.60311284,0,,,
981,308,17,313.9653415,17.32925586,,,
2793,30,51,10.74113856,18.25993555,,,
24788,2283,317,92.10101662,12.78844602,,,
1879,405,9,215.5401809,4.789781799,,,
1952,26,6,13.31967213,3.073770492,,,
5740,133,24,23.17073171,4.181184669,,,
14438,386,202,26.73500485,13.99085746,,,
801,7,8,8.739076155,9.987515605,,,
3330,103,22,30.93093093,6.606606607,,,
3264,257,46,78.7377451,14.09313725,,,
10514,97,79,9.225794179,7.513791136,,,
129502,5062,1271,39.08819941,9.814520239,,,
3281,79,18,24.07802499,5.486132277,,,
3438,379,27,110.2385108,7.853403141,,,
4595,238,47,51.79542982,10.22850925,,,
546,12,8,21.97802198,14.65201465,,,
4544,42,70,9.242957746,15.40492958,,,
2787,87,28,31.21636168,10.04664514,,,
1966,38,57,19.32858596,28.99287894,,,
654,180,3,275.2293578,4.587155963,,,
8561,241,130,28.15091695,15.18514192,,,
6566,451,41,68.68717636,6.24428876,,,
1326,138,12,104.0723982,9.049773756,,,
464,10,7,21.55172414,15.0862069,,,
392,36,3,91.83673469,7.653061224,,,
5132,187,47,36.43803585,9.158222915,,,
776,20,3,25.77319588,3.865979381,,,
7205,275,273,38.16793893,37.89035392,,,
1937,225,15,116.1590088,7.743933918,,,
33821,1579,318,46.68696963,9.40244227,,,
167,1,1,5.988023952,5.988023952,,,
2015,0,5,0,2.481389578,,,
7854,32,97,4.074357016,12.3503947,,,
27376,434,296,15.85330216,10.81239041,,,
62,9,3,145.1612903,48.38709677,,,
270,27,7,100,25.92592593,,,
120,9,2,75,16.66666667,,,
461,72,10,156.1822126,21.69197397,,,
1161,186,6,160.2067183,5.167958656,,,
11216,696,57,62.05420827,5.082025678,,,
2680,15,115,5.597014925,42.91044776,,,
7342,20,93,2.724053391,12.66684827,,,
2128,210,24,98.68421053,11.27819549,,,
0,0,0,0,0,,,
185434,6731,1414,36.29862916,7.625354574,,,
116,0,4,0,34.48275862,,,
511,28,2,54.79452055,3.913894325,,,
456,0,12,0,26.31578947,,,
3509,39,59,11.11427757,16.8139071,,,
16663,287,118,17.22378923,7.081557943,,,
280,3,4,10.71428571,14.28571429,,,
8891,1079,50,121.3586773,5.62366438,,,
0,0,0,0,0,,,
597,13,3,21.77554439,5.025125628,,,
882,12,10,13.60544218,11.33786848,,,
1825,55,21,30.1369863,11.50684932,,,
122594,5925,1427,48.33026086,11.64004764,,,
132,11,0,83.33333333,0,,,
1557,45,24,28.9017341,15.41425819,,,
262,9,0,34.35114504,0,,,
5383,16,78,2.972320268,14.4900613,,,
1650,39,51,23.63636364,30.90909091,,,
305,0,5,0,16.39344262,,,
401,20,3,49.87531172,7.481296758,,,
7165,50,56,6.978367062,7.81577111,,,
1813,51,48,28.13017099,26.47545505,,,
2506,85,50,33.91859537,19.95211492,,,
31193,6094,173,195.3643446,5.546116116,,,
729,22,7,30.17832647,9.602194787,,,
283,1,2,3.533568905,7.067137809,,,
2627,220,45,83.74571755,17.12980586,,,
534,9,21,16.85393258,39.3258427,,,
1433,22,13,15.35240754,9.071877181,,,
386,12,4,31.0880829,10.3626943,,,
0,0,0,0,0,,,
10288,184,138,17.88491446,13.41368585,,,
1335,123,47,92.13483146,35.20599251,,,
190,6,1,31.57894737,5.263157895,,,
6335,752,44,118.7056038,6.945540647,,,
13780,135,84,9.796806967,6.095791001,,,
364,0,6,0,16.48351648,,,
21702,571,190,26.31093908,8.754953461,,,
3182,70,14,21.99874293,4.399748586,,,
9079,85,153,9.362264567,16.85207622,,,
252,1,1,3.968253968,3.968253968,,,
1482,22,9,14.84480432,6.072874494,,,
1636,30,27,18.33740831,16.50366748,,,
6440,188,58,29.19254658,9.00621118,,,
1608,31,14,19.27860697,8.706467662,,,
321,0,31,0,96.57320872,,,
531,6,9,11.29943503,16.94915254,,,
780,3,8,3.846153846,10.25641026,,,
49541,400,288,8.074120426,5.813366706,,,
345900,14454,3828,41.78664354,11.06678231,,,
435,0,6,0,13.79310345,,,
198,1,8,5.050505051,40.4040404,,,
1825,68,14,37.26027397,7.671232877,,,
246,6,8,24.3902439,32.5203252,,,
1281,45,10,35.12880562,7.806401249,,,
221,6,1,27.14932127,4.524886878,,,
2465,117,51,47.46450304,20.68965517,,,
2553,26,48,10.18409714,18.80141011,,,
4558,86,77,18.86792453,16.89337429,,,
2105,31,14,14.72684086,6.650831354,,,
158,5,0,31.64556962,0,,,
1354,5,29,3.692762186,21.41802068,,,
66,3,0,45.45454545,0,,,
67,1,0,14.92537313,0,,,
0,0,0,0,0,,,
397,10,7,25.18891688,17.63224181,,,
1005,96,6,95.52238806,5.970149254,,,
1550,85,11,54.83870968,7.096774194,,,
48280,246,424,5.095277548,8.782104391,,,
9,0,1,0,111.1111111,,,
184,0,13,0,70.65217391,,,
284,10,1,35.21126761,3.521126761,,,
660,15,25,22.72727273,37.87878788,,,
3822,91,21,23.80952381,5.494505495,,,
517,41,7,79.30367505,13.53965184,,,
353,13,5,36.82719547,14.16430595,,,
1039,191,7,183.8306064,6.737247353,,,
380,30,10,78.94736842,26.31578947,,,
576,35,6,60.76388889,10.41666667,,,
778,30,4,38.56041131,5.141388175,,,
546,44,7,80.58608059,12.82051282,,,
641,48,11,74.88299532,17.16068643,,,
759,75,2,98.81422925,2.635046113,,,
84097,3480,948,41.38078647,11.272697,,,
61043,130,887,2.129646315,14.53074063,,,
403,0,10,0,24.81389578,,,
733,21,19,28.64938608,25.92087312,,,
81294,9398,577,115.6050877,7.097694787,,,
2262,60,14,26.52519894,6.189213086,,,
218,10,3,45.87155963,13.76146789,,,
9650,111,162,11.50259067,16.78756477,,,
932,26,10,27.89699571,10.72961373,,,
52,0,5,0,96.15384615,,,
3121,21,74,6.728612624,23.71034925,,,
1547,24,11,15.51389787,7.110536522,,,
3577,99,41,27.67682415,11.46211909,,,
514,20,2,38.91050584,3.891050584,,,
1021,22,7,21.54750245,6.856023506,,,
1055,133,23,126.0663507,21.80094787,,,
616,15,13,24.35064935,21.1038961,,,
174,1,1,5.747126437,5.747126437,,,
664,1,14,1.506024096,21.08433735,,,
590,20,11,33.89830508,18.6440678,,,
1494,199,17,133.1994645,11.37884873,,,
542,21,8,38.74538745,14.7601476,,,
120,0,1,0,8.333333333,,,
643,21,13,32.65940902,20.21772939,,,
910,5,4,5.494505495,4.395604396,,,
972,19,16,19.5473251,16.46090535,,,
927,15,53,16.18122977,57.17367853,,,
532,5,8,9.398496241,15.03759398,,,
1554,25,7,16.08751609,4.504504505,,,
5091,270,72,53.03476724,14.1426046,,,
377,4,1,10.61007958,2.652519894,,,
1263,33,7,26.12826603,5.542359462,,,
1997,12,20,6.00901352,10.01502253,,,
29491,1854,297,62.86663728,10.07086908,,,
480,6,3,12.5,6.25,,,
4635,124,57,26.75296656,12.29773463,,,
752,3,12,3.989361702,15.95744681,,,
4816,68,56,14.11960133,11.62790698,,,
48262,829,345,17.17707513,7.148481207,,,
307,116,2,377.8501629,6.51465798,,,
455,93,5,204.3956044,10.98901099,,,
3361,57,24,16.95923832,7.140731925,,,
149,21,3,140.9395973,20.13422819,,,
162,1,0,6.172839506,0,,,
126,7,1,55.55555556,7.936507937,,,
1217,69,28,56.6967954,23.00739523,,,
218,6,0,27.52293578,0,,,
359,2,1,5.571030641,2.78551532,,,
31,0,2,0,64.51612903,,,
9444,379,74,40.1313003,7.835662855,,,
327,17,3,51.98776758,9.174311927,,,
220,3,3,13.63636364,13.63636364,,,
478,11,1,23.0125523,2.092050209,,,
611,25,14,40.91653028,22.91325696,,,
1641,12,3,7.31261426,1.828153565,,,
2697,53,17,19.65146459,6.303299963,,,
1390,72,30,51.79856115,21.58273381,,,
3458,37,121,10.69982649,34.99132447,,,
1442,38,9,26.35228849,6.241331484,,,
763,39,9,51.11402359,11.79554391,,,
2298,23,29,10.00870322,12.61966928,,,
303,10,2,33.00330033,6.600660066,,,
367,2,10,5.449591281,27.2479564,,,
298,6,5,20.13422819,16.77852349,,,
7918,92,85,11.61909573,10.7350341,,,
3341,159,30,47.59054175,8.979347501,,,
886,17,9,19.18735892,10.15801354,,,
236,17,0,72.03389831,0,,,
448,10,11,22.32142857,24.55357143,,,
1397,52,6,37.2226199,4.294917681,,,
0,0,0,0,0,,,
472110,59143,2563,125.2737709,5.428819555,,,
686,31,12,45.18950437,17.49271137,,,
2058,81,13,39.35860058,6.316812439,,,
2531,88,30,34.76886606,11.85302252,,,
2740,102,17,37.22627737,6.204379562,,,
194,0,2,0,10.30927835,,,
23779,776,192,32.63383658,8.074351318,,,
996,13,7,13.05220884,7.02811245,,,
823,54,16,65.61360875,19.44106926,,,
1093,41,9,37.51143641,8.234217749,,,
4022,157,25,39.03530582,6.215813028,,,
680,16,10,23.52941176,14.70588235,,,
1092,5,36,4.578754579,32.96703297,,,
1262,6,20,4.754358162,15.84786054,,,
55774,2159,716,38.70979309,12.83752286,,,
55473,2116,730,38.144683,13.1595551,,,
74663,2669,933,35.74729116,12.49614936,,,
74753,2639,936,35.30293099,12.52123661,,,
55916,2161,721,38.6472566,12.89434151,,,
55340,2112,725,38.16407662,13.10083123,,,
1603,236,22,147.2239551,13.724267,,,
1201,67,3,55.7868443,2.497918401,,,
0,0,0,0,0,,,
121,2,3,16.52892562,24.79338843,,,
458,1,26,2.183406114,56.76855895,,,
1879,0,192,0,102.1820117,,,
599,55,2,91.8196995,3.338898164,,,
518,74,4,142.8571429,7.722007722,,,
624,51,7,81.73076923,11.21794872,,,
2362,67,5,28.3657917,2.116850127,,,
2689,23,79,8.553365563,29.37895128,,,
600,12,6,20,10,,,
1058,34,3,32.13610586,2.835538752,,,
30131,1317,363,43.70913677,12.04739305,,,
3062,138,24,45.06858263,7.83801437,,,
